NUM_OPER,MONTOCREDITO_log_est,MONTOCUOTA_log_est,SALDOCAPITAL_POR_VENCER_log_est,NUMERORENEGOCIACION_log_est,PLAZO_est,TASAINTERES_est,DIAS_MADURACION_est,DIAS_RESTANTES_est,PRODUCTO_COD_PROD_2_e,TIPOTASACOD_V_e,PERIOD_PAGO_OTROS_e
46,-0.1308799030536173,0.03958280899888491,5.7324971704858765,0.0,-0.1420149323301846,-0.12743822297004812,0.6752805209450521,0.5090858067195898,-0.022958781033592213,-0.04040242140745317,0.0
51,-0.014758705963821337,-0.009590220334686466,5.4626579577316985,0.0,-0.0692489005931077,-0.12948328680574053,0.6465813268816516,1.5969575708014965,-0.02226300940825447,-0.024759786742948802,0.0
54,0.08225880409061617,-0.20133788982169498,-5.239781827034649,0.0,-0.70053183722695,-0.9214973965016852,0.6635902064988902,-0.1927787578370965,-0.04335751906632529,-0.045635810332572996,0.0
136,0.023739530027695514,0.011031237144224305,5.395718873838352,0.0,0.07275531540678669,-0.14111356065753536,0.6339153942656366,1.478427030036992,-0.02162195148159944,-0.024760489033284105,0.0
178,0.09229745308254374,0.027646588828181124,-5.446585729630857,0.0,-0.4380618763942063,-0.7608234875525853,0.48195095165024715,-0.11160917334882527,-0.03454557888861087,-0.03872367097682178,0.0
189,-0.36084524049470407,-0.06717389342096301,-5.473782371206663,0.0,-0.6701405345214098,-0.8527799446864459,0.6142005318139313,-0.1235077403259785,-0.03333535778059975,-0.04597065561460104,0.0
223,-0.010288254760679823,0.04339618381447025,5.452141443956781,0.0,0.0964173484170182,-0.04004191503525278,0.695721079470957,0.6665767659850949,-0.02639705079353612,-0.035098754756122126,0.0
227,-0.40995025039121175,-0.34253187743699476,-5.071997183632756,0.0,-0.8846901442880152,-0.9938755088513196,0.8541678456488664,-0.28696144785844535,-0.06981330499991728,-0.0407913851661711,0.0
231,-0.34917154913483095,-0.7208916271795657,-5.013173684005552,0.0,-0.6419773410850008,-0.9701614404805572,0.8362326879891819,-0.19284468539641417,-0.06342186459725098,-0.045961289333840714,0.0
261,0.033523065274556806,-0.08180711118091806,-4.948925312200172,0.0,0.05225069430678191,-0.6943147558599195,0.7341841829010635,0.7123688849016953,-0.034708926393756306,-0.02000063243652743,0.0
269,-0.29713198498138166,0.024460563915088957,-5.2349485000609155,0.0,0.09260522792479521,0.18206760285016999,0.644376676283011,0.6512524076524558,-0.020859525644403458,-0.0527307235889738,0.0
282,-0.021101026965239737,-0.038003765409862306,-5.039838553669919,0.0,0.41163845889037554,0.0890141409925373,0.647280930838699,0.69165458541102,-0.01785557723327592,-0.052489977158591154,0.0
283,-0.12584576358410945,-0.24578778968546855,-4.575858373430505,0.0,0.7070368000775231,-0.6240066401837157,1.2970669021886707,-0.08058203744549383,-0.038238150486018516,-0.0203477003430613,0.0
317,0.03373337096378229,-0.2313262322509452,-4.622572183397265,0.0,1.5085329710709734,-0.3870768131427696,1.0318029587507864,0.040947802018226835,-0.01735173238333737,-0.02134462397811281,0.0
334,-0.10901122519546982,-0.11481520908439288,-4.572214292911515,0.0,0.3322529450289448,-0.6924676584849344,1.2273079534253657,-0.11684375844048428,-0.03805912839320925,-0.02397968177086791,0.0
363,0.016379322536136963,-0.019798904054469393,5.233824875298246,0.0,-0.09383189981387828,0.27475325800580225,0.8278579127282977,1.7041520949456903,-0.02378696917004163,-0.031996769045008824,0.0
368,-0.20482812289257604,-0.1942744020816168,-5.156390287773963,0.0,-0.6096712508318708,-0.41353979541194535,0.9752354332362053,-0.15887838248177968,-0.04974475921188022,-0.024772148509143506,0.0
378,-0.20030838873619472,-0.19601992356810544,-5.157193495308698,0.0,-0.6615626581596364,-0.43592390694183275,0.9563789602546747,-0.15887686523996566,-0.04984856808108759,-0.024772148509143506,0.0
414,0.16102931392322664,-0.019265300523931883,-5.223559206717899,0.0,0.1286549539365132,0.29695505018988294,0.5919074646847846,0.07028723495248061,-0.02115651495321342,-0.04545989495536611,0.0
423,-0.03305159557950549,0.03323196237807425,5.103933524195265,0.0,-0.13651751777425916,0.26991438878227597,0.8326197357463575,1.8646987235066916,-0.0237137348591651,-0.019432110606219608,0.0
462,0.10127007673686032,-0.05052058064398419,5.209578095485167,0.0,-0.008533941981138306,0.26589987270387827,0.8188240901460345,1.5829515292117333,-0.023777748075764125,-0.021119114741176455,0.0
526,-0.3398551278008146,-0.14300067248509715,-4.574620582535213,0.0,0.47320650517812135,0.37864701889464747,0.9066508876979105,-0.10190119265678306,-0.02083123244950015,-0.04000930535398105,0.0
531,-0.19658595466805284,0.07739778412042052,-4.98431960313419,0.0,-0.0781674552803172,0.22967677772522033,0.7799106217288023,0.02023296313266854,-0.022970882411064847,-0.045266511199931456,0.0
533,-0.17817868999000705,0.026773469783485136,-4.992766820256794,0.0,-0.8165848791163862,-0.06900064079130717,0.6912505798877987,-0.20548275266490487,-0.04240345029521572,-0.04012351504902042,0.0
538,0.06162222750471026,0.007717181901280221,5.103254538538134,0.0,0.18525720015178,0.05544399040336022,0.674070282327959,0.0292998830556943,-0.024276358408013836,-0.04162481140159799,0.0
