NUM_OPER,FECHA_CORTE,particion,DIASMORA,TARGET,P_xgboost,P_lightgbm,P_ensemble
792,2019-04-30,train,360,1,0.8377466,0.9993952245248188,0.9185709223515207
792,2019-05-31,train,391,1,0.8377466,0.9993928309405048,0.9185697255593637
792,2019-06-30,train,421,1,0.8377466,0.9994289126392194,0.918587766408721
792,2019-07-31,train,452,1,0.8377466,0.9997480213730898,0.9187473207756562
792,2019-08-31,train,483,1,0.8377466,0.9998515211062542,0.9187990706422384
792,2019-09-30,train,513,1,0.8377466,0.9998515211062542,0.9187990706422384
792,2019-10-31,train,544,1,0.8377466,0.9998515211062542,0.9187990706422384
792,2019-11-30,train,574,1,0.8377466,0.9998515211062542,0.9187990706422384
792,2019-12-31,train,605,1,0.8377466,0.9998515211062542,0.9187990706422384
800,2017-12-31,test,0,0,0.16982947,0.023485476754964305,0.09665747482720063
800,2018-09-30,test,3,0,0.1724001,0.028752328195325173,0.10057621510731758
800,2018-11-30,test,3,0,0.1724001,0.027567626403151763,0.09998386421123089
800,2018-12-31,test,0,0,0.1724001,0.024768665319196,0.098584383669253
800,2019-01-31,test,4,0,0.19040185,0.010571997626789884,0.1004869248788399
800,2019-02-28,test,32,1,0.1724001,0.01891406201456494,0.09565708201693747
800,2019-03-31,test,0,0,0.1724001,0.013696052960326336,0.09304807748981817
800,2019-04-30,test,0,0,0.16864206,0.007153152457152294,0.08789760571284815
800,2019-05-31,test,0,0,0.16864206,0.007153152457152294,0.08789760571284815
800,2019-06-30,test,0,0,0.16864206,0.008450750614481261,0.08854640479151263
800,2019-07-31,test,0,0,0.16864206,0.00798382695246575,0.08831294296050488
800,2019-08-31,test,0,0,0.16864206,0.00484825138706978,0.0867451551778069
800,2019-09-30,test,0,0,0.16864206,0.00484825138706978,0.0867451551778069
800,2019-10-31,test,0,0,0.16864206,0.00484825138706978,0.0867451551778069
800,2019-11-30,test,0,0,0.16864206,0.00484825138706978,0.0867451551778069
800,2019-12-31,test,0,0,0.16864206,0.006211278644006773,0.08742666880627539
834,2017-08-31,val,0,0,0.1790089,0.0022846457883191696,0.09064677345377567
834,2017-09-30,val,0,0,0.1790089,0.007867596571595255,0.09343824884541371
834,2019-01-31,val,0,0,0.20692593,0.018838023801939843,0.11288197619731086
834,2019-04-30,val,0,0,0.18313785,0.016004449742869235,0.09957114935807174
834,2019-12-31,val,0,0,0.20091496,0.018193478168549347,0.10955422112420311
